Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,119.46448251319674,121.27703128246068,118.30086927145115,119.2630844116211,2605400,0.0,0.0
2015-01-05 00:00:00-05:00,117.42812301100417,119.04675107161974,115.06359939894894,117.84584045410156,4080300,0.0,0.0
2015-01-06 00:00:00-05:00,118.4350763933519,118.50967162323434,113.62397998842137,114.04914093017578,5075800,0.0,0.0
2015-01-07 00:00:00-05:00,114.93677520173482,118.28590080551973,114.13119449809722,118.03229522705078,3502400,0.0,0.0
2015-01-08 00:00:00-05:00,119.0467303776538,121.40378722640224,115.72743599715034,117.60712432861328,4560200,0.0,0.0
2015-01-09 00:00:00-05:00,118.42018476160736,118.42018476160736,115.33959675919773,116.16008758544922,3949100,0.0,0.0
2015-01-12 00:00:00-05:00,116.52558898925781,117.8458475268994,115.60812659336861,116.52558898925781,2700700,0.0,0.0
2015-01-13 00:00:00-05:00,118.51714440782692,120.06117712173021,114.42957786814617,115.7199935913086,4570400,0.0,0.0
2015-01-14 00:00:00-05:00,114.02676848828355,116.01833827175271,113.80300555434785,115.73490142822266,3426400,0.0,0.0
2015-01-15 00:00:00-05:00,116.4733749919496,117.65937578721311,113.0272882498529,113.31819152832031,2894000,0.0,0.0
2015-01-16 00:00:00-05:00,113.69857034072615,118.18147758286457,113.40021216739721,118.17401123046875,3513200,0.0,0.0
2015-01-20 00:00:00-05:00,118.75582678662533,119.1436901283407,115.35448221373588,117.55491638183594,3664400,0.0,0.0
2015-01-21 00:00:00-05:00,115.8990247333414,118.05469534870033,115.8990247333414,117.39083862304688,2804900,0.0,0.0
2015-01-22 00:00:00-05:00,117.98011449513875,119.18102527812827,114.95173375063597,119.0243911743164,3783100,0.0,0.0
2015-01-23 00:00:00-05:00,119.19591416968485,119.35254823087291,118.03975630240225,119.203369140625,2249400,0.0,0.0
2015-01-26 00:00:00-05:00,119.0616189395104,120.44900579999958,117.60710321036025,119.14366912841797,3149600,0.0,0.0
2015-01-27 00:00:00-05:00,118.24859348215963,119.89705237015056,118.06211679889354,118.51712036132812,2876300,0.0,0.0
2015-01-28 00:00:00-05:00,118.09198928831641,120.02388548362546,115.25007435650798,115.3470458984375,4927100,0.0,0.0
2015-01-29 00:00:00-05:00,115.53353488585533,116.98805126092678,114.69065633292063,116.6374740600586,3435500,0.0,0.0
2015-01-30 00:00:00-05:00,116.02580176184127,117.01039279177385,113.0272533230919,113.57176208496094,5318200,0.0,0.0
2015-02-02 00:00:00-05:00,114.42960211483792,114.84730823755142,111.43850759033907,113.75082397460938,3832500,0.0,0.0
2015-02-03 00:00:00-05:00,114.69064464323202,114.69064464323202,111.04316023675426,113.54940795898438,4298400,0.0,0.0
2015-02-04 00:00:00-05:00,111.98299920694888,114.23562970267817,109.96158663238259,112.96759033203125,5827100,0.0,0.0
2015-02-05 00:00:00-05:00,113.59416989913238,114.79508060195423,112.64687622161529,114.39229583740234,3564400,0.0,0.0
2015-02-06 00:00:00-05:00,115.10832486573256,115.43651424591482,112.33355109246554,112.93026733398438,3242700,0.0,0.0
2015-02-09 00:00:00-05:00,111.88606156714616,113.25107288406198,111.28933362912696,111.89351654052734,3236400,0.0,0.0
2015-02-10 00:00:00-05:00,112.8533028820978,114.45049946801397,111.76601421247591,114.40550994873047,4108600,0.79,0.0
