rebalance_freq,total_return,annualized_return,max_drawdown,sharpe_ratio,transaction_costs,final_value,num_rebalances
daily,7899.284335589422,53.65656049424554,-55.11182978948115,2.1144350861822216,4075127.504782076,799928433.5589422,2537
weekly,4064.064854645158,44.17334503706187,-57.23376719123422,0.6075574541320621,1945145.6464678752,416406485.4645158,510
